image_id,PredictionString
CCTV01^20260318-110000-20260318-120000_000061,3 0.812663 0.52 0.88 0.07 0.20 10 0.807129 0.19 0.62 0.17 0.25 2 0.764323 0.19 0.73 0.05 0.11 0 0.673665 0.30 0.94 0.04 0.10 10 0.666829 0.41 0.39 0.11 0.13 0 0.645996 0.14 0.86 0.06 0.11 0 0.621745 0.32 0.48 0.03 0.06 0 0.569499 0.78 0.94 0.05 0.11 10 0.530924 0.78 0.73 0.16 0.35 3 0.524903 0.42 0.50 0.05 0.07 0 0.431478 0.93 0.66 0.04 0.09 0 0.412435 0.86 0.54 0.03 0.07 1 0.363444 0.88 0.71 0.04 0.09 2 0.346191 0.28 0.43 0.02 0.05 3 0.267469 0.64 0.44 0.04 0.08 3 0.253011 0.52 0.38 0.03 0.05 0 0.242615 0.79 0.48 0.02 0.06 10 0.242228 0.20 0.44 0.11 0.15 4 0.240336 0.96 0.64 0.07 0.13 0 0.203288 0.81 0.45 0.02 0.06 0 0.186930 0.06 0.69 0.06 0.10 1 0.172526 0.70 0.45 0.02 0.05 3 0.113475 0.65 0.40 0.04 0.05 0 0.107503 0.91 0.58 0.02 0.06 1 0.100830 0.86 0.75 0.02 0.07 10 0.091959 0.02 0.68 0.05 0.24 10 0.045695 0.67 0.32 0.05 0.11 0 0.041117 0.26 0.44 0.03 0.06 4 0.023173 0.06 0.69 0.06 0.10 11 0.021077 0.02 0.66 0.04 0.18 2 0.020528 0.06 0.69 0.06 0.10 7 0.011892 0.96 0.63 0.07 0.13
CCTV01^20260318-110000-20260318-120000_000065,3 0.842611 0.52 0.88 0.07 0.20 2 0.766602 0.24 0.68 0.05 0.10 3 0.753581 0.73 0.63 0.06 0.11 10 0.698893 0.38 0.44 0.12 0.15 10 0.693034 0.25 0.50 0.16 0.19 0 0.597168 0.31 0.80 0.04 0.11 1 0.574056 0.22 0.80 0.04 0.10 10 0.543620 0.70 0.44 0.07 0.17 3 0.394043 0.64 0.40 0.03 0.06 10 0.387492 0.49 0.34 0.08 0.10 0 0.373698 0.29 0.54 0.03 0.07 4 0.361979 0.96 0.64 0.07 0.13 2 0.339355 0.47 0.45 0.03 0.06 0 0.248128 0.94 0.68 0.04 0.09 0 0.244141 0.90 0.56 0.04 0.08 1 0.224528 0.39 0.55 0.03 0.06 1 0.116455 0.75 0.47 0.02 0.06 10 0.094483 0.20 0.45 0.12 0.14 2 0.085571 0.79 0.46 0.03 0.06 0 0.059652 0.14 0.64 0.04 0.06 10 0.042033 0.07 0.85 0.15 0.30 2 0.018951 0.96 0.63 0.07 0.13 7 0.014130 0.96 0.63 0.07 0.13
CCTV01^20260318-110000-20260318-120000_000069,3 0.843425 0.52 0.88 0.07 0.20 10 0.807943 0.81 0.80 0.16 0.40 3 0.788900 0.71 0.67 0.05 0.12 2 0.504964 0.34 0.51 0.04 0.07 0 0.502930 0.90 0.69 0.04 0.10 2 0.502604 0.30 0.61 0.04 0.08 10 0.487305 0.35 0.43 0.12 0.14 3 0.452637 0.76 0.59 0.06 0.08 10 0.397461 0.19 0.64 0.19 0.30 1 0.392090 0.29 0.66 0.03 0.07 5 0.318339 0.35 0.61 0.07 0.11 3 0.316080 0.88 0.78 0.07 0.14 10 0.294088 0.45 0.38 0.09 0.12 0 0.287475 0.93 0.66 0.04 0.10 4 0.265299 0.97 0.66 0.06 0.14 2 0.236816 0.97 0.66 0.06 0.13 9 0.226563 0.35 0.61 0.07 0.11 0 0.204753 0.41 0.47 0.03 0.06 0 0.191813 0.87 0.55 0.03 0.07 9 0.181051 0.20 0.77 0.13 0.18 11 0.178223 0.70 0.44 0.05 0.09 0 0.142090 0.30 0.51 0.03 0.06 1 0.141439 0.63 0.41 0.02 0.05 9 0.135030 0.70 0.43 0.05 0.08 7 0.133857 0.20 0.77 0.13 0.16 10 0.125977 0.20 0.45 0.12 0.15 0 0.104655 0.82 0.50 0.03 0.06 0 0.070272 0.32 0.56 0.02 0.05 11 0.066325 0.20 0.77 0.13 0.18 7 0.048706 0.70 0.43 0.05 0.08 4 0.045207 0.20 0.77 0.13 0.16 10 0.033427 0.52 0.30 0.05 0.09 10 0.027954 0.76 0.35 0.05 0.11 1 0.015116 0.61 0.42 0.01 0.04 4 0.012024 0.70 0.43 0.05 0.08
CCTV01^20260318-110000-20260318-120000_000073,3 0.836263 0.52 0.88 0.07 0.20 10 0.758301 0.37 0.53 0.14 0.20 10 0.603027 0.11 0.72 0.21 0.31 3 0.580241 0.26 0.69 0.08 0.11 1 0.449382 0.14 0.80 0.04 0.08 6 0.422495 0.87 0.60 0.13 0.27 0 0.352682 0.32 0.79 0.04 0.10 1 0.324246 0.78 0.66 0.04 0.08 10 0.262614 0.87 0.60 0.14 0.28 2 0.255086 0.81 0.49 0.03 0.06 0 0.198242 0.33 0.85 0.03 0.08 10 0.196126 0.46 0.37 0.09 0.12 9 0.194987 0.35 0.46 0.13 0.16 4 0.194682 0.70 0.44 0.04 0.07 1 0.190389 0.66 0.45 0.02 0.06 1 0.175456 0.26 0.63 0.03 0.05 1 0.148641 0.20 0.72 0.03 0.07 6 0.124868 0.24 0.87 0.13 0.26 0 0.105794 0.36 0.91 0.04 0.11 10 0.089681 0.24 0.87 0.13 0.26 9 0.084554 0.24 0.87 0.13 0.26 0 0.075348 0.32 0.72 0.03 0.07 0 0.072428 0.95 0.69 0.04 0.10 7 0.066528 0.24 0.87 0.13 0.26 7 0.062785 0.70 0.44 0.04 0.07 11 0.048259 0.24 0.87 0.13 0.26 10 0.043253 0.34 0.47 0.13 0.17 1 0.027873 0.74 0.47 0.02 0.05 0 0.023356 0.20 0.72 0.03 0.07 10 0.022054 0.20 0.45 0.11 0.15 12 0.020325 0.49 0.23 0.03 0.07
CCTV01^20260318-110000-20260318-120000_000077,7 0.910482 0.93 0.74 0.08 0.13 3 0.827799 0.52 0.88 0.07 0.20 3 0.696452 0.76 0.62 0.05 0.13 1 0.660319 0.90 0.84 0.04 0.11 3 0.649902 0.70 0.53 0.05 0.08 2 0.631185 0.98 0.87 0.03 0.12 0 0.621256 0.32 0.80 0.05 0.12 2 0.564453 0.98 0.67 0.05 0.09 9 0.548502 0.83 0.74 0.11 0.18 0 0.376383 0.30 0.71 0.04 0.09 10 0.304687 0.12 0.83 0.23 0.35 1 0.243083 0.74 0.48 0.03 0.06 4 0.231283 0.83 0.74 0.11 0.18 1 0.212504 0.77 0.54 0.02 0.06 1 0.210938 0.89 0.96 0.04 0.08 3 0.173177 0.99 0.95 0.03 0.10 10 0.150309 0.23 0.63 0.23 0.26 2 0.132202 0.98 0.78 0.03 0.10 6 0.125569 0.44 0.45 0.09 0.11 10 0.089844 0.20 0.44 0.11 0.15 10 0.044719 0.39 0.44 0.12 0.16 4 0.043416 0.93 0.74 0.08 0.13 10 0.034566 0.44 0.45 0.09 0.11 0 0.032471 0.98 0.77 0.03 0.09 9 0.032451 0.44 0.45 0.09 0.11 4 0.031962 0.05 0.63 0.04 0.07 9 0.031494 0.39 0.44 0.12 0.16 5 0.017029 0.76 0.62 0.06 0.13 0 0.016469 0.83 0.74 0.11 0.18 4 0.014343 0.76 0.62 0.06 0.13
CCTV01^20260318-110000-20260318-120000_000081,3 0.862142 0.77 0.88 0.07 0.17 3 0.832520 0.52 0.88 0.07 0.20 12 0.813802 0.82 0.72 0.07 0.18 0 0.611166 0.28 0.92 0.06 0.12 10 0.573751 0.23 0.71 0.19 0.39 0 0.559896 0.92 0.74 0.05 0.11 3 0.552572 0.31 0.75 0.06 0.11 1 0.503906 0.74 0.68 0.03 0.08 7 0.442383 0.35 0.93 0.08 0.14 12 0.312826 0.35 0.93 0.08 0.14 3 0.274089 0.11 0.89 0.11 0.19 3 0.243083 0.17 0.96 0.08 0.08 10 0.215657 0.21 0.43 0.12 0.15 3 0.206624 0.85 0.64 0.06 0.12 0 0.158203 0.36 0.57 0.05 0.09 0 0.135416 0.87 0.52 0.02 0.06 10 0.110240 0.48 0.43 0.10 0.14 9 0.106120 0.48 0.43 0.10 0.15 5 0.105469 0.85 0.64 0.05 0.12 4 0.100016 0.02 0.91 0.05 0.15 9 0.098063 0.39 0.46 0.12 0.15 2 0.073365 0.04 0.71 0.07 0.12 0 0.067261 0.90 0.54 0.04 0.07 9 0.063111 0.35 0.42 0.12 0.14 3 0.057943 0.02 0.91 0.05 0.16 6 0.050211 0.05 0.71 0.08 0.13 2 0.035461 0.36 0.57 0.06 0.10 1 0.022766 0.74 0.67 0.06 0.08 7 0.010864 0.82 0.72 0.07 0.18
CCTV01^20260318-110000-20260318-120000_000085,3 0.833008 0.52 0.88 0.07 0.20 2 0.796549 0.09 0.80 0.05 0.11 0 0.665202 0.79 0.66 0.04 0.09 2 0.631185 0.02 0.86 0.04 0.13 10 0.614258 0.37 0.48 0.14 0.17 3 0.602051 0.83 0.93 0.07 0.13 0 0.601237 0.26 0.89 0.05 0.09 1 0.595215 0.84 0.78 0.04 0.09 12 0.585449 0.30 0.82 0.09 0.14 2 0.564616 0.70 0.48 0.03 0.06 10 0.489746 0.24 0.68 0.18 0.36 3 0.448242 0.18 0.94 0.08 0.13 3 0.370036 0.10 0.93 0.09 0.13 0 0.362610 0.35 0.91 0.05 0.10 2 0.346069 0.10 0.72 0.05 0.09 0 0.319661 0.02 0.67 0.03 0.08 10 0.268840 0.49 0.43 0.09 0.15 0 0.228597 0.01 0.73 0.01 0.09 0 0.167969 0.84 0.49 0.03 0.07 2 0.117431 0.99 0.91 0.03 0.18 10 0.047567 0.24 0.42 0.13 0.14 12 0.040955 0.98 0.91 0.03 0.18 0 0.038656 0.75 0.45 0.03 0.06 3 0.033935 0.31 0.73 0.06 0.08 3 0.027425 0.99 0.92 0.03 0.17 4 0.022827 0.05 0.63 0.04 0.07 1 0.013367 0.84 0.78 0.07 0.10
CCTV01^20260318-110000-20260318-120000_000089,3 0.848307 0.52 0.88 0.07 0.20 10 0.633138 0.45 0.40 0.09 0.12 12 0.605469 0.29 0.79 0.08 0.11 3 0.500651 0.50 0.44 0.04 0.05 10 0.477050 0.29 0.61 0.17 0.30 0 0.476563 0.86 0.55 0.03 0.07 2 0.465170 0.81 0.47 0.03 0.07 3 0.428711 0.21 0.84 0.07 0.13 0 0.415012 0.08 0.84 0.06 0.11 1 0.351725 0.73 0.54 0.03 0.07 3 0.349935 0.46 0.48 0.07 0.06 1 0.342936 0.14 0.82 0.04 0.09 0 0.319987 0.89 0.54 0.03 0.07 2 0.307699 0.87 0.91 0.07 0.18 3 0.281189 0.15 0.71 0.08 0.10 2 0.266846 0.04 0.73 0.06 0.11 1 0.255086 0.17 0.78 0.03 0.08 3 0.233419 0.39 0.49 0.05 0.06 8 0.196126 0.88 0.91 0.07 0.18 0 0.187175 0.75 0.46 0.02 0.06 0 0.123209 0.14 0.82 0.03 0.09 3 0.122274 0.10 0.96 0.07 0.08 0 0.083699 0.90 0.63 0.03 0.08 10 0.071126 0.29 0.40 0.14 0.14 2 0.066854 0.37 0.40 0.03 0.05 0 0.064005 0.26 0.89 0.04 0.08 7 0.048950 0.88 0.90 0.07 0.17 0 0.040507 0.35 0.90 0.05 0.09 9 0.040344 0.24 0.55 0.16 0.21 1 0.034180 0.08 0.78 0.04 0.06 1 0.032227 0.90 0.62 0.03 0.09 2 0.031006 0.40 0.43 0.03 0.06 3 0.030009 0.51 0.40 0.03 0.04 0 0.027018 0.77 0.44 0.02 0.05 7 0.024984 0.29 0.79 0.08 0.10 3 0.022725 0.31 0.73 0.06 0.08 2 0.013977 0.35 0.43 0.03 0.05
CCTV01^20260318-110000-20260318-120000_000126,10 0.885254 0.35 0.45 0.12 0.16 3 0.879720 0.52 0.88 0.07 0.19 2 0.846680 0.94 0.86 0.07 0.12 3 0.845866 0.30 0.61 0.09 0.08 2 0.826172 0.85 0.48 0.04 0.08 3 0.819173 0.21 0.86 0.09 0.15 2 0.813314 0.30 0.65 0.03 0.09 2 0.791992 0.32 0.53 0.04 0.08 0 0.791830 0.31 0.90 0.04 0.11 0 0.782715 0.22 0.69 0.03 0.08 0 0.774577 0.76 0.92 0.04 0.11 0 0.754720 0.27 0.51 0.03 0.06 1 0.751139 0.26 0.67 0.02 0.06 1 0.727539 0.15 0.80 0.03 0.09 1 0.726888 0.17 0.71 0.03 0.07 0 0.713216 0.40 0.93 0.04 0.09 0 0.712565 0.19 0.61 0.03 0.07 0 0.706217 0.80 0.55 0.02 0.07 1 0.693685 0.19 0.73 0.03 0.08 1 0.613770 0.65 0.47 0.02 0.05 0 0.550455 0.02 0.87 0.03 0.12 1 0.528646 0.94 0.69 0.03 0.07 0 0.515625 0.85 0.59 0.04 0.08 0 0.468262 0.19 0.56 0.02 0.05 1 0.397868 0.96 0.79 0.04 0.09 0 0.359548 0.38 0.58 0.03 0.06 4 0.271973 0.79 0.49 0.03 0.08 3 0.188965 0.79 0.49 0.03 0.08 0 0.164062 0.90 0.53 0.02 0.06 0 0.163913 0.82 0.47 0.02 0.06 0 0.146322 0.26 0.44 0.02 0.05 0 0.101318 0.17 0.51 0.03 0.06 3 0.096110 0.15 0.97 0.09 0.06 7 0.092550 0.79 0.49 0.04 0.08 1 0.075531 0.92 0.97 0.03 0.07 1 0.072428 0.23 0.46 0.02 0.04 1 0.065145 0.82 0.57 0.02 0.05 0 0.062012 0.48 0.40 0.02 0.06 1 0.061564 0.76 0.47 0.02 0.04 1 0.060709 0.96 0.81 0.03 0.07 0 0.048055 0.01 0.75 0.01 0.10 0 0.043091 0.20 0.55 0.02 0.04 2 0.028666 0.85 0.59 0.03 0.08 6 0.027954 0.77 0.39 0.05 0.10 0 0.027649 0.07 0.70 0.06 0.08 10 0.024882 0.67 0.33 0.05 0.12 0 0.020141 0.20 0.54 0.02 0.04 0 0.015116 0.96 0.79 0.04 0.10 1 0.011495 0.02 0.87 0.03 0.12 0 0.010661 0.19 0.73 0.03 0.08
CCTV01^20260318-110000-20260318-120000_000130,6 0.923015 0.93 0.80 0.13 0.31 10 0.908854 0.21 0.65 0.16 0.26 3 0.875651 0.52 0.88 0.07 0.19 2 0.839844 0.21 0.92 0.07 0.13 2 0.792317 0.79 0.93 0.06 0.13 3 0.781087 0.44 0.46 0.05 0.07 2 0.772461 0.85 0.48 0.04 0.08 2 0.756511 0.11 0.95 0.06 0.09 1 0.718262 0.13 0.84 0.03 0.09 3 0.709473 0.39 0.57 0.05 0.07 0 0.699544 0.27 0.45 0.03 0.06 0 0.699219 0.80 0.58 0.02 0.08 3 0.641113 0.50 0.41 0.04 0.06 0 0.634766 0.29 0.53 0.03 0.06 1 0.631185 0.73 0.65 0.03 0.07 7 0.540527 0.23 0.80 0.07 0.14 2 0.535156 0.19 0.54 0.03 0.06 1 0.527344 0.83 0.70 0.03 0.08 0 0.365967 0.25 0.72 0.03 0.07 0 0.314372 0.33 0.40 0.02 0.05 0 0.230062 0.39 0.39 0.02 0.04 0 0.214884 0.78 0.47 0.02 0.06 0 0.211385 0.85 0.57 0.03 0.07 0 0.206299 0.79 0.53 0.02 0.06 10 0.202637 0.69 0.37 0.06 0.14 10 0.198242 0.49 0.34 0.08 0.10 1 0.151611 0.88 0.64 0.02 0.06 0 0.130860 0.20 0.48 0.02 0.04 0 0.124115 0.98 0.69 0.03 0.08 0 0.101888 0.17 0.53 0.02 0.06 0 0.094062 0.37 0.38 0.02 0.05 2 0.057566 0.75 0.40 0.02 0.05 0 0.051676 0.23 0.46 0.02 0.05 1 0.042318 0.70 0.93 0.03 0.09 1 0.039998 0.36 0.40 0.02 0.04 1 0.038900 0.06 0.77 0.02 0.08 8 0.026632 0.23 0.80 0.07 0.14 4 0.017151 0.40 0.36 0.03 0.05 1 0.016907 0.32 0.41 0.01 0.04
